state_index,state,VDS_V,legacy_Vth_V,final_Vth_V,Vth_difference_V,legacy_SS_mV_dec,final_SS_mV_dec,legacy_Ion_A,final_Ion_A,legacy_Ioff_A,final_Ioff_A,legacy_on_off_ratio,final_on_off_ratio,legacy_gm_max_S,final_gm_max_S,legacy_condition,final_condition,ioff_on_off_warning
0,State_0_Empty,0.01,0.6069421391230975,0.6088660868256213,0.0019239477025237983,62.84112667258996,63.364363758635065,9.878318180168543e-09,9.731153712653014e-09,5.613027819800675e-22,6.235531002868477e-22,17598911848114.33,15605974388029.625,5.453282893706024e-09,5.14581362396067e-09,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
0,State_0_Empty,0.05,0.5729257722746505,0.5732219045458192,0.0002961322711687586,61.42072904434895,62.37138708657236,9.878318180168543e-09,9.731153712653014e-09,5.613027819800675e-22,6.235531002868477e-22,17598911848114.33,15605974388029.625,2.289522226840055e-08,2.1760692288729672e-08,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
0,State_0_Empty,0.1,0.5674274968198129,0.5672682490399771,-0.00015924777983578053,61.345394423366386,62.289930721401625,9.878318180168543e-09,9.731153712653014e-09,5.613027819800675e-22,6.235531002868477e-22,17598911848114.33,15605974388029.625,3.2421565642275664e-08,3.1174688708693534e-08,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
1,State_1,0.01,0.6250952566627632,0.636563808164091,0.01146855150132775,62.49381749222301,63.33820149294975,9.874886624844209e-09,9.724372699308665e-09,5.872908558132615e-22,5.612955501500791e-22,16814303384938.256,17324870465672.79,5.338802278044062e-09,4.934101710310893e-09,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
1,State_1,0.05,0.5862947824268274,0.5950899730703034,0.008795190643476003,61.353653297720896,62.2506619943272,9.874886624844209e-09,9.724372699308665e-09,5.872908558132615e-22,5.612955501500791e-22,16814303384938.256,17324870465672.79,2.213152938036844e-08,2.044390376697797e-08,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
1,State_1,0.1,0.580942691713356,0.5893663748796955,0.008423683166339457,61.28175785656733,62.17610135388028,9.874886624844209e-09,9.724372699308665e-09,5.872908558132615e-22,5.612955501500791e-22,16814303384938.256,17324870465672.79,3.1094182060325235e-08,2.950274447969472e-08,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
2,State_2,0.01,0.6474027549356001,0.668982926880306,0.02158017194470596,62.11601111814077,62.8319089775647,9.869666218962007e-09,9.713955735868147e-09,5.301002238570527e-22,5.1960721110032815e-22,18618490947144.875,18694805476809.543,5.029888875826844e-09,4.950887335214728e-09,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
2,State_2,0.05,0.6080630425636621,0.6324830733379705,0.024420030774308432,61.92836202616557,62.68156019030592,9.869666218962007e-09,9.713955735868147e-09,5.301002238570527e-22,5.1960721110032815e-22,18618490947144.875,18694805476809.543,2.166282406164218e-08,2.1878464343655145e-08,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
2,State_2,0.1,0.6015542876916983,0.6258921932240722,0.024337905532373916,61.80665567529573,62.57424729118872,9.869666218962007e-09,9.713955735868147e-09,5.301002238570527e-22,5.1960721110032815e-22,18618490947144.875,18694805476809.543,3.203480896466301e-08,3.217659254852405e-08,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
3,State_3,0.01,0.6788571311584146,0.728371027800021,0.049513896641606436,61.72050921697712,63.49167667170665,9.860764450656467e-09,9.69590465216993e-09,1.5616572073719474e-23,3.949181375979183e-22,631429509889098.2,24551682308503.418,5.401623068372517e-09,5.023986953975796e-09,4/5/8 nm; Al2O3/HfO2 relative permittivity 9.0/20.0,3/5/16 nm; Al2O3/HfO2 relative permittivity 8.9/19.65,"Ioff and ON/OFF are numerical-leakage-floor sensitive; prioritize Vth, delta-Vth, and complete IV curves for fitting."
