state_index,state,ntrap_cm3,nsheet_cm2,VGS_V,VDS_V,perturbed_terminal,measured_terminal,capacitance_F,delta_voltage_V,method,supported,limitation,converged,error_message
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,gate,4.1848227588920035e-18,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,gate,-2.09241137737139e-18,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,gate,-2.0924113814674578e-18,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,gate,4.184822758876981e-18,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,gate,-2.0924113773829456e-18,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,gate,-2.0924113814828652e-18,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
