state_index,state,ntrap_cm3,nsheet_cm2,VGS_V,VDS_V,Cgg_F,Cgd_F,Cgs_F,nominal_delta_voltage_V,sensitivity_delta_voltages_V,Cgg_relative_sensitivity,Cgd_relative_sensitivity,Cgs_relative_sensitivity,gate_capacitance_row_sum_F,method,supported_quantities,limitation,converged,error_message
0,State_0_Empty,0.0,0.0,-1.0,0.05,4.184822758876981e-18,-2.0924113773829456e-18,-2.0924113814828652e-18,0.001,"0.0005,0.001,0.002",6.304983928443781e-12,5.5226136653760675e-12,7.363484872739906e-12,1.1170393677445968e-29,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,5.142453192601507e-17,-4.1969349511207326e-17,-9.45518126589963e-18,0.001,"0.0005,0.001,0.002",4.933361738543877e-09,5.854794536316531e-05,0.00025948823618919065,1.1489081157203613e-24,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,4.1848227552242625e-18,-2.09241137568389e-18,-2.0924113795257352e-18,0.001,"0.0005,0.001,0.002",1.5831492505677342e-11,7.179397770818618e-12,4.786265171757756e-12,1.4637067577342992e-29,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,5.141183774287035e-17,-4.195682286494882e-17,-9.455013701680613e-18,0.001,"0.0005,0.001,0.002",5.13033513921214e-09,5.853927218023401e-05,0.00025936811614251417,1.176240913491105e-24,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
2,State_2,5e+17,250000000000.0,-1.0,0.05,4.184822750174474e-18,-2.0924113733768187e-18,-2.0924113767999666e-18,0.001,"0.0005,0.001,0.002",8.928225435486995e-12,1.3346316383544995e-11,7.455528450334919e-12,-2.311115933264683e-30,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
2,State_2,5e+17,250000000000.0,3.0,0.05,5.1392267948174776e-17,-4.193752557774782e-17,-9.454741153535051e-18,0.001,"0.0005,0.001,0.002",5.31378809601797e-09,5.852616311487709e-05,0.00025918440369368496,1.2168919020132752e-24,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
3,State_3,1e+18,500000000000.0,-1.0,0.05,4.184822742883674e-18,-2.0924113700012413e-18,-2.0924113728937955e-18,0.001,"0.0005,0.001,0.002",2.0525714181260938e-11,1.1229314492546626e-11,8.744138322272161e-12,-1.1362986671884692e-29,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
3,State_3,1e+18,500000000000.0,3.0,0.05,5.13581674199207e-17,-4.190393940922486e-17,-9.454226726294704e-18,0.001,"0.0005,0.001,0.002",5.732996029443903e-09,5.8503607585577125e-05,0.0002588655736746577,1.284401139167892e-24,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
4,State_4_Programmed,2e+18,1000000000000.0,-1.0,0.05,4.184822731704806e-18,-2.092411364783512e-18,-2.0924113668473384e-18,0.001,"0.0005,0.001,0.002",1.168953232279624e-11,1.2886098630137668e-11,6.995310678032131e-12,7.395570986446986e-29,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
4,State_4_Programmed,2e+18,1000000000000.0,3.0,0.05,5.128384112239447e-17,-4.183089526257508e-17,-9.452944415673913e-18,0.001,"0.0005,0.001,0.002",6.8297193473127215e-09,5.845583884848682e-05,0.0002581811268387132,1.444145472475147e-24,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
