file,category,description,generated_by,geometry_version,material_version,sha256
README.md,documentation,Compact-model handoff artifact: README.md,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,f288d36c0b0adfeb0056d24001cda57138985daf027871a6d4b0e848cae869ce
baseline_comparison_legacy_vs_final.csv,electrical_data,Compact-model handoff artifact: baseline_comparison_legacy_vs_final.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,326c38ee710aced6fe7541e03d04c0371f479decaf1ba41f336165e0fd7f5a70
capacitance_matrix_by_state.csv,charge_capacitance_data,Compact-model handoff artifact: capacitance_matrix_by_state.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,89372da66dff968226966a30a604784ec8e8b64a8d003007c6ffdb3b5d9ac964
capacitance_summary_by_state.csv,charge_capacitance_data,Compact-model handoff artifact: capacitance_summary_by_state.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,7197def40c1ea7183ce9faf34a4471269c23dac0a9532cedca78b2f7221f5ee5
device_structure_parameters.csv,metadata,Compact-model handoff artifact: device_structure_parameters.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,ce9a09c3cb6d2ea4ce82d1b66f4460c3c9c6610ad865ee7c8fd0be12ecd0cd45
idvd_by_state.csv,electrical_data,Compact-model handoff artifact: idvd_by_state.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,a9224ff443ca20e4692227339fec606e85161483c43e3c7bad45ad13f1551d25
idvg_by_state.csv,electrical_data,Compact-model handoff artifact: idvg_by_state.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,194e8d1b20316831defdbf748b4c966fcf6c7768c3e59c4eec82320b2b190fd3
material_parameters.csv,metadata,Compact-model handoff artifact: material_parameters.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,1d6a829abd96006f56138eb84f45b90f89c0478964bb9bd2ad196a7857988e41
memory_state_map.csv,electrical_data,Compact-model handoff artifact: memory_state_map.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,e84651709127699f4fbf98b70a7609ae1249b1164264c73eb336dbfa68651fc6
mesh/README.md,documentation,Compact-model handoff artifact: README.md,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,cec869ed1b53d7243dc934a4d7da318b259cb7e0a079b34f692e8b41228654fb
mesh/empty_off_reference/mos2_gaa_empty_off_reference.visit,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference.visit,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,7da6df56b718b962ea95eb717cb9540fbfb972d81c2617584ea606870eba98b5
