state_index,state,ntrap_cm3,nsheet_cm2,trap_charge_density_C_cm3,VGS_V,VDS_V,ID_A,abs_ID_A,converged,error_message
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.0,-3.0593863284656066e-22,3.0593863284656066e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.01,2.027385749392173e-20,2.027385749392173e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.02,3.480681918267016e-20,3.480681918267016e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.03,4.3188692425730523e-20,4.3188692425730523e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.04,5.049763657701122e-20,5.049763657701122e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.05,5.465983990303913e-20,5.465983990303913e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.06,5.770838903584063e-20,5.770838903584063e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.07,5.976658240405043e-20,5.976658240405043e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.08,6.192764762962373e-20,6.192764762962373e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.09,6.295733921759969e-20,6.295733921759969e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.1,6.443166612904944e-20,6.443166612904944e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.0,5.154018683234182e-22,5.154018683234182e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.01,2.835357126625193e-12,2.835357126625193e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.02,4.813831682495398e-12,4.813831682495398e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.03,6.1992146897098345e-12,6.1992146897098345e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.04,7.174612303116975e-12,7.174612303116975e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.05,7.866807371163353e-12,7.866807371163353e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.06,8.363416469654458e-12,8.363416469654458e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.07,8.724901624316295e-12,8.724901624316295e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.08,8.99294185171537e-12,8.99294185171537e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.09,9.196247383173703e-12,9.196247383173703e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.1,9.354586821769832e-12,9.354586821769832e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.0,-9.0108143151277e-22,9.0108143151277e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.01,1.6563944586282234e-09,1.6563944586282234e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.02,3.227466866407207e-09,3.227466866407207e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.03,4.658145112104817e-09,4.658145112104817e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.04,5.915455842954901e-09,5.915455842954901e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.05,6.989300935162695e-09,6.989300935162695e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.06,7.88787117881017e-09,7.88787117881017e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.07,8.630765594185284e-09,8.630765594185284e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.08,9.242505365346807e-09,9.242505365346807e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.09,9.747830873169947e-09,9.747830873169947e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.1,1.016899064739727e-08,1.016899064739727e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.0,-3.599385198910223e-21,3.599385198910223e-21,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.01,2.0812858338137553e-09,2.0812858338137553e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.02,4.068197752107993e-09,4.068197752107993e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.03,5.888717400503404e-09,5.888717400503404e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.04,7.499804261900843e-09,7.499804261900843e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.05,8.888459889079435e-09,8.888459889079435e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.06,1.0065378134507549e-08,1.0065378134507549e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.07,1.1055653488791918e-08,1.1055653488791918e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.08,1.1890272409175944e-08,1.1890272409175944e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.09,1.2600143551108777e-08,1.2600143551108777e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.1,1.3212792360963647e-08,1.3212792360963647e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.0,8.429271364970458e-21,8.429271364970458e-21,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.01,2.214175636019623e-09,2.214175636019623e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.02,4.329472784528708e-09,4.329472784528708e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.03,6.268459554668734e-09,6.268459554668734e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.04,7.98522096258557e-09,7.98522096258557e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.05,9.466378334465268e-09,9.466378334465268e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.06,1.0724006205944683e-08,1.0724006205944683e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.07,1.1785456365828574e-08,1.1785456365828574e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.08,1.2684164285651453e-08,1.2684164285651453e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.09,1.3453285788838413e-08,1.3453285788838413e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.1,1.4122231351983009e-08,1.4122231351983009e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.0,-7.794321877689331e-20,7.794321877689331e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.01,2.2761411885649315e-09,2.2761411885649315e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.02,4.450577746591139e-09,4.450577746591139e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.03,6.443129031566191e-09,6.443129031566191e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.04,8.206469674214999e-09,8.206469674214999e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.05,9.727096936005302e-09,9.727096936005302e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.06,1.1017844411493626e-08,1.1017844411493626e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.07,1.2107239627265859e-08,1.2107239627265859e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.08,1.3029960206009075e-08,1.3029960206009075e-08,True,
