state_index,state,ntrap_cm3,nsheet_cm2,trap_charge_density_C_cm3,VGS_V,VDS_V,ID_A,abs_ID_A,converged,error_message
0,State_0_Empty,0.0,0.0,-0.0,-1.0,0.01,-3.066246237520856e-22,3.066246237520856e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.9,0.01,-4.522200971497789e-22,4.522200971497789e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.8,0.01,2.182674415402998e-22,2.182674415402998e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.7,0.01,5.587370085640723e-22,5.587370085640723e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.6,0.01,-6.550571109382374e-22,6.550571109382374e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.5,0.01,-5.584248092059263e-22,5.584248092059263e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.4,0.01,-8.8121940882972e-23,8.8121940882972e-23,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.3,0.01,-1.79612853319079e-22,1.79612853319079e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.2,0.01,-9.742676522932256e-23,9.742676522932256e-23,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.1,0.01,3.708960752332888e-22,3.708960752332888e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.01,2.8216753400480187e-20,2.8216753400480187e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.1,0.01,1.1582521737713568e-18,1.1582521737713568e-18,True,
0,State_0_Empty,0.0,0.0,-0.0,0.2,0.01,4.8021042314650134e-17,4.8021042314650134e-17,True,
0,State_0_Empty,0.0,0.0,-0.0,0.3,0.01,1.9572351053238573e-15,1.9572351053238573e-15,True,
0,State_0_Empty,0.0,0.0,-0.0,0.4,0.01,7.764666010852051e-14,7.764666010852051e-14,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.01,2.905682469381289e-12,2.905682469381289e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.6,0.01,8.360575512015426e-11,8.360575512015426e-11,True,
0,State_0_Empty,0.0,0.0,-0.0,0.7,0.01,6.299834874342926e-10,6.299834874342926e-10,True,
0,State_0_Empty,0.0,0.0,-0.0,0.8,0.01,1.1127684799122884e-09,1.1127684799122884e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,0.9,0.01,1.382804634267452e-09,1.382804634267452e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.01,1.5644935732493861e-09,1.5644935732493861e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.1,0.01,1.6987616245105714e-09,1.6987616245105714e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.2,0.01,1.8022868236085e-09,1.8022868236085e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.3,0.01,1.883847253225796e-09,1.883847253225796e-09,True,
