state_index,state,ntrap_cm3,nsheet_cm2,qsheet_C_cm2,VDS_V,Vth_V,delta_Vth_from_empty_V
0,State_0_Empty,0.0,0.0,-0.0,0.01,0.6088660868256213,0.0
0,State_0_Empty,0.0,0.0,-0.0,0.05,0.5732219045458192,0.0
0,State_0_Empty,0.0,0.0,-0.0,0.1,0.5672682490399771,0.0
1,State_1,2e+17,100000000000.0,-1.602176634e-08,0.01,0.636563808164091,0.027697721338469705
1,State_1,2e+17,100000000000.0,-1.602176634e-08,0.05,0.5950899730703034,0.021868068524484197
1,State_1,2e+17,100000000000.0,-1.602176634e-08,0.1,0.5893663748796955,0.022098125839718374
2,State_2,5e+17,250000000000.0,-4.005441585e-08,0.01,0.668982926880306,0.06011684005468476
2,State_2,5e+17,250000000000.0,-4.005441585e-08,0.05,0.6324830733379705,0.059261168792151264
2,State_2,5e+17,250000000000.0,-4.005441585e-08,0.1,0.6258921932240722,0.05862394418409511
3,State_3,1e+18,500000000000.0,-8.01088317e-08,0.01,0.728371027800021,0.11950494097439979
3,State_3,1e+18,500000000000.0,-8.01088317e-08,0.05,0.6879695146592626,0.11474761011344337
3,State_3,1e+18,500000000000.0,-8.01088317e-08,0.1,0.6821785537626666,0.11491030472268948
4,State_4_Programmed,2e+18,1000000000000.0,-1.602176634e-07,0.01,0.8447500099628131,0.23588392313719186
4,State_4_Programmed,2e+18,1000000000000.0,-1.602176634e-07,0.05,0.8035228508702909,0.23030094632447162
4,State_4_Programmed,2e+18,1000000000000.0,-1.602176634e-07,0.1,0.7971072906003294,0.2298390415603523
