state_index,state,ntrap_cm3,nsheet_cm2,VDS_V,Vth_V,threshold_current_A,vth_success,vth_error,SS_mV_dec,ss_r_squared,ss_point_count,ss_success,ss_error,Ion_A,ion_vgs_V,ion_vds_V,Ioff_A,ioff_vgs_V,ioff_vds_V,on_off_ratio,gm_max_S,VGS_at_gm_max_V,ss_current_min_A,ss_current_max_A,ss_minimum_point_count,current_floor_A
0,State_0_Empty,0.0,0.0,0.01,0.6088660868256213,1e-10,True,,63.364363758635065,0.999709644606134,6,True,,9.731153712653014e-09,3.0,0.05,6.235531002868477e-22,-1.0,0.05,15605974388029.625,5.14581362396067e-09,0.7,1e-18,1e-10,4,1e-30
0,State_0_Empty,0.0,0.0,0.05,0.5732219045458192,1e-10,True,,62.37138708657236,0.9999765713454456,5,True,,9.731153712653014e-09,3.0,0.05,6.235531002868477e-22,-1.0,0.05,15605974388029.625,2.1760692288729672e-08,0.7,1e-18,1e-10,4,1e-30
0,State_0_Empty,0.0,0.0,0.1,0.5672682490399771,1e-10,True,,62.289930721401625,0.9999801158972618,5,True,,9.731153712653014e-09,3.0,0.05,6.235531002868477e-22,-1.0,0.05,15605974388029.625,3.1174688708693534e-08,0.7,1e-18,1e-10,4,1e-30
1,State_1,2e+17,100000000000.0,0.01,0.636563808164091,1e-10,True,,63.33820149294975,0.9998295924296731,5,True,,9.724372699308665e-09,3.0,0.05,5.612955501500791e-22,-1.0,0.05,17324870465672.79,4.934101710310893e-09,0.7,1e-18,1e-10,4,1e-30
1,State_1,2e+17,100000000000.0,0.05,0.5950899730703034,1e-10,True,,62.2506619943272,0.9999832461948268,5,True,,9.724372699308665e-09,3.0,0.05,5.612955501500791e-22,-1.0,0.05,17324870465672.79,2.044390376697797e-08,0.7,1e-18,1e-10,4,1e-30
1,State_1,2e+17,100000000000.0,0.1,0.5893663748796955,1e-10,True,,62.17610135388028,0.9999854729991524,5,True,,9.724372699308665e-09,3.0,0.05,5.612955501500791e-22,-1.0,0.05,17324870465672.79,2.950274447969472e-08,0.8,1e-18,1e-10,4,1e-30
2,State_2,5e+17,250000000000.0,0.01,0.668982926880306,1e-10,True,,62.8319089775647,0.9999324297952905,5,True,,9.713955735868147e-09,3.0,0.05,5.1960721110032815e-22,-1.0,0.05,18694805476809.543,4.950887335214728e-09,0.8,1e-18,1e-10,4,1e-30
2,State_2,5e+17,250000000000.0,0.05,0.6324830733379705,1e-10,True,,62.68156019030592,0.9999495589310985,5,True,,9.713955735868147e-09,3.0,0.05,5.1960721110032815e-22,-1.0,0.05,18694805476809.543,2.1878464343655145e-08,0.8,1e-18,1e-10,4,1e-30
2,State_2,5e+17,250000000000.0,0.1,0.6258921932240722,1e-10,True,,62.57424729118872,0.9999574403707534,5,True,,9.713955735868147e-09,3.0,0.05,5.1960721110032815e-22,-1.0,0.05,18694805476809.543,3.217659254852405e-08,0.8,1e-18,1e-10,4,1e-30
3,State_3,1e+18,500000000000.0,0.01,0.728371027800021,1e-10,True,,63.49167667170665,0.9997850078362776,5,True,,9.69590465216993e-09,3.0,0.05,3.949181375979183e-22,-1.0,0.05,24551682308503.418,5.023986953975796e-09,0.8,1e-18,1e-10,4,1e-30
3,State_3,1e+18,500000000000.0,0.05,0.6879695146592626,1e-10,True,,62.28590070163225,0.9999812644977234,5,True,,9.69590465216993e-09,3.0,0.05,3.949181375979183e-22,-1.0,0.05,24551682308503.418,2.0952512348531293e-08,0.8,1e-18,1e-10,4,1e-30
3,State_3,1e+18,500000000000.0,0.1,0.6821785537626666,1e-10,True,,62.21230371367581,0.9999841492176865,5,True,,9.69590465216993e-09,3.0,0.05,3.949181375979183e-22,-1.0,0.05,24551682308503.418,2.9753320708325933e-08,0.8,1e-18,1e-10,4,1e-30
4,State_4_Programmed,2e+18,1000000000000.0,0.01,0.8447500099628131,1e-10,True,,63.19387804030644,0.999865629574053,5,True,,9.656954281358016e-09,3.0,0.05,4.469421151442834e-22,-1.0,0.05,21606722557887.67,4.817269080048899e-09,0.9,1e-18,1e-10,4,1e-30
4,State_4_Programmed,2e+18,1000000000000.0,0.05,0.8035228508702909,1e-10,True,,62.983168269290225,0.9999042830312914,5,True,,9.656954281358016e-09,3.0,0.05,4.469421151442834e-22,-1.0,0.05,21606722557887.67,2.0250919190912244e-08,1.0,1e-18,1e-10,4,1e-30
4,State_4_Programmed,2e+18,1000000000000.0,0.1,0.7971072906003294,1e-10,True,,62.143631564562945,0.9999870571133351,5,True,,9.656954281358016e-09,3.0,0.05,4.469421151442834e-22,-1.0,0.05,21606722557887.67,3.036820207314176e-08,1.0,1e-18,1e-10,4,1e-30
