state_index,state,ntrap_cm3,nsheet_cm2,VGS_V,VDS_V,Qg_C,Qd_C,Qs_C,Qd_poisson_boundary_flux_C,Qs_poisson_boundary_flux_C,Qtrap_C,Qmobile_C,Qfixed_C,charge_sum_C,charge_conservation_error_C,method,supported_quantities,limitation,converged,error_message
0,State_0_Empty,0.0,0.0,-1.0,0.05,-6.522058634733402e-18,nan,nan,3.312302223098648e-18,3.207537469171943e-18,0.0,-7.935693914219936e-24,2.22687815674078e-21,1.5384404273925586e-32,1.5384404273925586e-32,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,1.1028942794974704e-16,nan,nan,-8.28474209196545e-19,-9.899155577260532e-19,0.0,-1.084732650609814e-16,2.22687815674078e-21,-2.162860704948015e-31,2.162860704948015e-31,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,-4.848739530774785e-18,nan,nan,3.3606797586296164e-18,3.2559150035147826e-18,-1.7700741973332137e-18,-7.912193191772664e-24,2.22687815674078e-21,-5.099541641554344e-32,5.099541641554344e-32,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,1.1087068871373812e-16,nan,nan,-8.278733215526932e-19,-9.892553245980814e-19,-1.7700741973332137e-18,-1.0728571274841084e-16,2.22687815674078e-21,3.5432973236610245e-32,3.5432973236610245e-32,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
2,State_2,5e+17,250000000000.0,-1.0,0.05,-2.338760874685421e-18,nan,nan,3.4332460628475925e-18,3.328481306084908e-18,-4.425185493333033e-18,-7.87907086724455e-24,2.22687815674078e-21,-8.034761027259577e-32,8.034761027259577e-32,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
2,State_2,5e+17,250000000000.0,3.0,0.05,1.1174313826063425e-16,nan,nan,-8.269508121451786e-19,-9.882409678171788e-19,-4.425185493333033e-18,-1.0550498786549572e-16,2.22687815674078e-21,-1.1652289937554266e-31,1.1652289937554266e-31,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
3,State_3,1e+18,500000000000.0,-1.0,0.05,1.8445368858224074e-18,nan,nan,3.5541899054289475e-18,3.4494251462389534e-18,-8.850370986666067e-18,-7.828981023765183e-24,2.22687815674078e-21,-4.1262321721366957e-32,4.1262321721366957e-32,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
3,State_3,1e+18,500000000000.0,3.0,0.05,1.131987658586599e-16,nan,nan,-8.253538686852293e-19,-9.864829117583746e-19,-8.850370986666067e-18,-1.0253878496970689e-16,2.22687815674078e-21,9.02256801544271e-32,9.02256801544271e-32,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
4,State_4_Programmed,2e+18,1000000000000.0,-1.0,0.05,1.0211132407932276e-17,nan,nan,3.796077597548587e-18,3.6913128344789634e-18,-1.7700741973332133e-17,-7.744784499640887e-24,2.22687815674078e-21,-6.519967872785717e-32,6.519967872785717e-32,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
4,State_4_Programmed,2e+18,1000000000000.0,3.0,0.05,1.161162236878029e-16,nan,nan,-8.219149851318098e-19,-9.826879390564956e-19,-1.7700741973332133e-17,-9.661310566843923e-17,2.22687815674078e-21,-3.47671732363045e-32,3.47671732363045e-32,DEVSIM PotentialEquation contact displacement charge plus direct CylindricalNodeVolume integration,"Qg,Qtrap,Qmobile,Qfixed,Cgg,Cgd,Cgs",Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
